Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
D.1.XCO.0012,D.1.XCO.0012 - Xe ô tô 7 chỗ Misubishi 14M-9036 ( BKS mới 14A-162.90),2007-01-19,2007-01-19,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","815.559.691,00","815.559.691,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0014,D.1.XCO.0014 - Xe điều hành sản xuất 14N-5111 ( 14A-173.18),2008-11-10,2008-11-10,Văn phòng,"0,00","0,00",,2113,162 - Dự án đầu tư xe điều hành sản xuất Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.114.242.706,00","1.114.242.706,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0016,D.1.XCO.0016 - Xe điều hành 7 chõ -14M- 4160,2020-01-01,,Phân xưởng Cơ điện lò 1,"0,00","0,00",,2113,024 - TSCĐ nhận bàn giao khu Đông Tràng Bạch,"2113-Phương tiện vận tải, truyền dẫn","616.686.581,00","616.686.581,00","0,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0017,D.1.XCO.0017 - Xe điều hành 7 chỗ Fortuner 14N-7448 ( BKS mới 14A-161.40),2009-07-16,2009-07-16,Phòng CV,"0,00","0,00",,2113,125 - Duy trì SX khu ĐTB,"2113-Phương tiện vận tải, truyền dẫn","920.175.138,00","920.175.138,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0018,D.1.XCO.0018 - Xe điều hành PORTUNER 7 chỗ -14N-9339 ( BKS mới 14A-161.29),2009-09-17,2009-09-17,Văn phòng,"0,00","0,00",,2113,129 - Dự án: Duy trì sản xuất năm 2009,"2113-Phương tiện vận tải, truyền dẫn","821.498.013,00","821.498.013,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0019,D.1.XCO.0019 - Xe ô tô Fotuner 2.7L SR 7 chỗ 14P 0123 ( BKS mới 14A-161.10),2009-11-10,2009-11-10,Phòng CV,"0,00","0,00",,2113,009 - MRNCSKTBDV ( TANDAN),"2113-Phương tiện vận tải, truyền dẫn","1.177.038.290,00","1.177.038.290,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0021,D.1.XCO.0021 - Xe ôtô FORTUNER điều hành 7 chỗ BKS 14N 9909 ( BKS mới 14A-161.71),2018-08-30,2018-08-30,Phòng CV,"0,00","0,00",,2113,001 - 99,"2113-Phương tiện vận tải, truyền dẫn","1.191.313.717,00","1.191.313.717,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0022,D.1.XCO.0022 - Xe con TOYOTA FORUNER -14P- 4334,2010-09-15,2010-09-15,Văn phòng,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.436.421.052,00","1.436.421.052,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0023,D.1.XCO.0023 - Xe ôtô 07 chỗ hiệu TOYOTA LAND CRUISER PRADO 2.7 L 14 P - 2898 ( BKS mới 14A-165.79),2010-04-29,2010-04-29,Văn phòng,"0,00","0,00",,2113,001 - 99,"2113-Phương tiện vận tải, truyền dẫn","1.787.360.000,00","1.787.360.000,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0024,"D.1.XCO.0024 - Ôtô HONDA CVR-2,4L 14A-029 87",2011-11-29,2011-11-29,Văn phòng,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.438.074.467,00","1.438.074.467,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0025,D.1.XCO.0025 - Xe ô tô 7 chỗ TOYOTA FORTUNER TRD 2.7 - BKS: 14A-018.71,2011-07-22,2011-07-22,Phòng CV,"0,00","0,00",,2113,131 - Dự án: Duy trì sản xuất năm 2011 -  Công ty than Uông Bí ,"2113-Phương tiện vận tải, truyền dẫn","1.137.545.627,00","1.137.545.627,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0026,D.1.XCO.0026 - Xe ô tô Toyota FOTUNER 14A-024.12,2011-09-16,2011-09-16,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","1.250.104.247,00","1.250.104.247,00","96,00","0,00","0,00","0,00","0,00","0,00"
